type,breed,dog_image_name
test,114.Otterhound,Otterhound_07430.jpg
test,114.Otterhound,Otterhound_07405.jpg
test,114.Otterhound,Otterhound_07394.jpg
test,114.Otterhound,Otterhound_07435.jpg
test,110.Norwegian_lundehund,Norwegian_lundehund_07218.jpg
test,110.Norwegian_lundehund,Norwegian_lundehund_07186.jpg
test,110.Norwegian_lundehund,Norwegian_lundehund_07183.jpg
test,110.Norwegian_lundehund,Norwegian_lundehund_07222.jpg
test,127.Silky_terrier,Silky_terrier_08055.jpg
test,127.Silky_terrier,Silky_terrier_08040.jpg
test,127.Silky_terrier,Silky_terrier_08057.jpg
test,127.Silky_terrier,Silky_terrier_08084.jpg
test,127.Silky_terrier,Silky_terrier_08074.jpg
test,091.Japanese_chin,Japanese_chin_06174.jpg
test,091.Japanese_chin,Japanese_chin_06169.jpg
test,091.Japanese_chin,Japanese_chin_06184.jpg
test,091.Japanese_chin,Japanese_chin_06166.jpg
test,091.Japanese_chin,Japanese_chin_06175.jpg
test,091.Japanese_chin,Japanese_chin_06225.jpg
test,091.Japanese_chin,Japanese_chin_06168.jpg
test,095.Kuvasz,Kuvasz_06404.jpg
test,095.Kuvasz,Kuvasz_06420.jpg
test,095.Kuvasz,Kuvasz_06409.jpg
test,095.Kuvasz,Kuvasz_06388.jpg
test,095.Kuvasz,Kuvasz_06429.jpg
test,095.Kuvasz,Kuvasz_06430.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04322.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04313.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04315.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04333.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04359.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04354.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04323.jpg
test,061.English_cocker_spaniel,English_cocker_spaniel_04347.jpg
test,043.Canaan_dog,Canaan_dog_03066.jpg
test,043.Canaan_dog,Canaan_dog_03084.jpg
test,043.Canaan_dog,Canaan_dog_03082.jpg
test,043.Canaan_dog,Canaan_dog_03073.jpg
test,043.Canaan_dog,Canaan_dog_03072.jpg
test,043.Canaan_dog,Canaan_dog_03069.jpg
test,131.Wirehaired_pointing_griffon,Wirehaired_pointing_griffon_08267.jpg
test,131.Wirehaired_pointing_griffon,Wirehaired_pointing_griffon_08245.jpg
test,131.Wirehaired_pointing_griffon,Wirehaired_pointing_griffon_08275.jpg
test,124.Poodle,Poodle_07925.jpg
test,124.Poodle,Poodle_07903.jpg
test,124.Poodle,Poodle_07910.jpg
test,124.Poodle,Poodle_07923.jpg
test,124.Poodle,Poodle_07949.jpg
test,124.Poodle,Poodle_07904.jpg
test,087.Irish_terrier,Irish_terrier_05895.jpg
test,087.Irish_terrier,Irish_terrier_05903.jpg
test,087.Irish_terrier,Irish_terrier_05912.jpg
test,087.Irish_terrier,Irish_terrier_05878.jpg
test,087.Irish_terrier,Irish_terrier_05887.jpg
test,087.Irish_terrier,Irish_terrier_05924.jpg
test,087.Irish_terrier,Irish_terrier_05900.jpg
test,087.Irish_terrier,Irish_terrier_05890.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03759.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03779.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03748.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03740.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03743.jpg
test,053.Cocker_spaniel,Cocker_spaniel_03765.jpg
test,064.English_toy_spaniel,English_toy_spaniel_04509.jpg
test,064.English_toy_spaniel,English_toy_spaniel_04532.jpg
test,064.English_toy_spaniel,English_toy_spaniel_04542.jpg
test,064.English_toy_spaniel,English_toy_spaniel_04513.jpg
test,064.English_toy_spaniel,English_toy_spaniel_04508.jpg
test,105.Neapolitan_mastiff,Neapolitan_mastiff_06945.jpg
test,105.Neapolitan_mastiff,Neapolitan_mastiff_06958.jpg
test,105.Neapolitan_mastiff,Neapolitan_mastiff_06937.jpg
test,105.Neapolitan_mastiff,Neapolitan_mastiff_06951.jpg
test,032.Boston_terrier,Boston_terrier_02294.jpg
test,032.Boston_terrier,Boston_terrier_02281.jpg
test,032.Boston_terrier,Boston_terrier_02287.jpg
test,032.Boston_terrier,Boston_terrier_02256.jpg
test,032.Boston_terrier,Boston_terrier_02260.jpg
test,032.Boston_terrier,Boston_terrier_02301.jpg
test,032.Boston_terrier,Boston_terrier_02291.jpg
test,032.Boston_terrier,Boston_terrier_02297.jpg
test,017.Bearded_collie,Bearded_collie_01227.jpg
test,017.Bearded_collie,Bearded_collie_01205.jpg
test,017.Bearded_collie,Bearded_collie_01221.jpg
test,017.Bearded_collie,Bearded_collie_01274.jpg
test,017.Bearded_collie,Bearded_collie_01215.jpg
test,017.Bearded_collie,Bearded_collie_01233.jpg
test,017.Bearded_collie,Bearded_collie_01231.jpg
test,017.Bearded_collie,Bearded_collie_01253.jpg
test,094.Komondor,Komondor_06366.jpg
test,094.Komondor,Komondor_06382.jpg
test,094.Komondor,Komondor_06372.jpg
test,094.Komondor,Komondor_06376.jpg
test,094.Komondor,Komondor_06378.jpg
test,003.Airedale_terrier,Airedale_terrier_00214.jpg
test,003.Airedale_terrier,Airedale_terrier_00210.jpg
test,003.Airedale_terrier,Airedale_terrier_00179.jpg
test,003.Airedale_terrier,Airedale_terrier_00207.jpg
test,003.Airedale_terrier,Airedale_terrier_00166.jpg
test,003.Airedale_terrier,Airedale_terrier_00175.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05753.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05733.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05746.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05719.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05749.jpg
test,084.Icelandic_sheepdog,Icelandic_sheepdog_05701.jpg
test,122.Pointer,Pointer_07812.jpg
test,122.Pointer,Pointer_07821.jpg
test,122.Pointer,Pointer_07838.jpg
test,122.Pointer,Pointer_07827.jpg
test,098.Leonberger,Leonberger_06609.jpg
test,098.Leonberger,Leonberger_06566.jpg
test,098.Leonberger,Leonberger_06578.jpg
test,098.Leonberger,Leonberger_06576.jpg
test,098.Leonberger,Leonberger_06617.jpg
test,125.Portuguese_water_dog,Portuguese_water_dog_07984.jpg
test,125.Portuguese_water_dog,Portuguese_water_dog_07975.jpg
test,125.Portuguese_water_dog,Portuguese_water_dog_07971.jpg
test,125.Portuguese_water_dog,Portuguese_water_dog_07963.jpg
test,009.American_water_spaniel,American_water_spaniel_00631.jpg
test,009.American_water_spaniel,American_water_spaniel_00655.jpg
test,009.American_water_spaniel,American_water_spaniel_00646.jpg
test,009.American_water_spaniel,American_water_spaniel_00624.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04131.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04108.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04142.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04155.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04152.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04134.jpg
test,058.Dandie_dinmont_terrier,Dandie_dinmont_terrier_04138.jpg
test,115.Papillon,Papillon_07480.jpg
test,115.Papillon,Papillon_07466.jpg
test,115.Papillon,Papillon_07440.jpg
test,115.Papillon,Papillon_07514.jpg
test,115.Papillon,Papillon_07451.jpg
test,115.Papillon,Papillon_07454.jpg
test,115.Papillon,Papillon_07498.jpg
test,115.Papillon,Papillon_07461.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00406.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00415.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00451.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00471.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00407.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00452.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00454.jpg
test,006.American_eskimo_dog,American_eskimo_dog_00467.jpg
test,041.Bullmastiff,Bullmastiff_02946.jpg
test,041.Bullmastiff,Bullmastiff_02881.jpg
test,041.Bullmastiff,Bullmastiff_02904.jpg
test,041.Bullmastiff,Bullmastiff_02876.jpg
test,041.Bullmastiff,Bullmastiff_02948.jpg
test,041.Bullmastiff,Bullmastiff_02921.jpg
test,041.Bullmastiff,Bullmastiff_02929.jpg
test,041.Bullmastiff,Bullmastiff_02954.jpg
test,041.Bullmastiff,Bullmastiff_02950.jpg
test,085.Irish_red_and_white_setter,Irish_red_and_white_setter_05772.jpg
test,085.Irish_red_and_white_setter,Irish_red_and_white_setter_05800.jpg
test,085.Irish_red_and_white_setter,Irish_red_and_white_setter_05789.jpg
